id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20786530,Manly Harbourview @ Forty Baskets Beach,1980428,Sally,,Manly,-33.80268,151.27087,Entire home/apt,185,6,55,2022-07-13,0.90,3,80,4,PID-STRA-9385
612018656283585606,Heart Of Manly - Close to Wharf and Beach,376663108,Jacob,,Manly,-33.8001,151.28512,Entire home/apt,169,3,6,2022-08-23,1.41,4,128,6,PID-STRA-35357
640104446197572605,Harbourfront studio in the centre of Manly,408860810,Kel,,Manly,-33.79936,151.28372,Entire home/apt,200,3,0,,,1,71,0,PID-STRA-38276
48669118,Private Room Sunny Modern Manly Beach Front Unit,7706177,Kelly,,Manly,-33.79911,151.28289,Private room,115,90,1,2021-04-04,0.06,1,153,0,
10613831,Sunny Art Deco Manly Beach apartment,16654238,Christopher,,Manly,-33.80077,151.28603,Entire home/apt,180,7,13,2022-08-18,0.19,1,10,3,PID-STRA-22914
621173628490426310,Villa Tranquillity by Clontarf Beach,1331819,Holidays,,Manly,-33.8087,151.25251,Entire home/apt,1600,21,0,,,7,0,0,PID-STRA-28353
18877219,Harbour Hideaway,21895984,Carolyn,,Manly,-33.80399,151.25237,Entire home/apt,499,2,122,2022-08-31,2.03,1,1,23,PID-STRA-2047
16042949,MANLY BEACH - CHIC CAFE LIFESTYLE,23845794,Noreen,,Manly,-33.80328,151.28485,Private room,300,2,18,2022-04-18,0.27,3,0,1,PID-STRA-15516
641626442542109423,Manly harbour view Eastern Hill appartment,37706145,Louise,,Manly,-33.80572,151.28314,Entire home/apt,250,7,3,2022-08-15,1.27,1,9,3,PID-STRA-36676
11156,An Oasis in the City,40855,Colleen,,Sydney,-33.86767,151.22497,Private room,65,90,195,2020-03-13,1.25,1,364,0,
118658,Luxury apartment by the beach,599232,James,,Waverley,-33.88918,151.28414,Entire home/apt,225,90,5,2012-04-15,0.04,1,91,0,
767295,New Aircon! Spacious & Modern Walk to CBD,3809995,Charlotte,,Sydney,-33.87151,151.22435,Entire home/apt,154,2,461,2022-08-01,3.89,3,238,35,PID-STRA-14807
14250,Manly Harbour House,55948,Heidi,,Manly,-33.80084,151.26378,Entire home/apt,470,2,3,2021-06-01,0.04,2,39,0,Exempt
768091,Delightful Bondi Beach House.,3932725,Paul,,Waverley,-33.8915,151.26577,Entire home/apt,360,5,12,2021-04-17,0.10,1,13,0,PID-STRA-7633
153444,"Luxe Apt - Lrg Mod Art Deco, walk everywhere",733574,Tobias,,Sydney,-33.87249,151.22479,Entire home/apt,120,5,228,2022-01-30,1.86,3,131,3,PID-STRA-6256
15253,Unique Designer Rooftop Apartment in City Location,59850,Morag,,Sydney,-33.87964,151.2168,Private room,89,1,430,2022-09-02,3.35,1,258,54,PID-STRA-24061-7
166468,"Artist Studio/Apartment in Dee Why, Sydney",519216,Godelieve,,Warringah,-33.75781,151.29074,Entire home/apt,158,5,18,2018-04-04,0.15,1,69,0,PID-STRA-25953
769833,Charming 1880s Newtown Terrace,2424664,Toby,,Marrickville,-33.89731,151.17694,Entire home/apt,120,5,8,2019-10-05,0.07,1,107,0,PID-STRA-36891
44545,Sunny Darlinghurst Warehouse Apartment,112237,Atari,,Sydney,-33.87888,151.21439,Entire home/apt,130,90,76,2020-01-03,0.52,1,0,0,
770164,Cozy room in a big city,4059587,Emily,,Marrickville,-33.8918,151.16006,Private room,75,90,0,,,1,0,0,
196170,"Spacious 2-Bed Unit, 5 Min Walk to Bondi Beach",954703,Diana & Lorenzo,,Waverley,-33.89531,151.26574,Entire home/apt,144,90,7,2020-01-05,0.05,1,261,0,
58506,"Studio Yindi @ Mosman, Sydney",279955,John,,Mosman,-33.81748,151.23484,Entire home/apt,160,2,335,2022-09-05,2.35,1,241,43,PID-STRA-2810
199043,CLOSE TO THE CITY 1,972136,Marty,,Sydney,-33.91417,151.21069,Private room,74,90,71,2016-07-07,0.53,1,90,0,
199669,Serenity Bondi Beach stay,975349,Susie,,Waverley,-33.88867,151.27357,Entire home/apt,275,8,15,2022-08-15,0.14,1,182,8,PID-STRA-17999
61721,"2br Eclectic Stylish Home, 2 mins to Bondi Beach",299170,Eilish,,Waverley,-33.88905,151.27653,Entire home/apt,245,90,33,2021-04-07,0.24,1,39,0,
210439,"Great Location, Paris End,  Potts Point Sydney",519412,Sarah,,Sydney,-33.86721,151.2261,Entire home/apt,110,90,19,2020-01-07,0.22,1,0,0,
771147,Apartment with Water Views,4068265,Daniela,,Mosman,-33.8154,151.24196,Private room,80,90,3,2019-01-30,0.03,1,363,0,
771702,Bright spacious terrace in desirable leafy street,3564414,Paris,,Sydney,-33.89505,151.21252,Private room,55,90,41,2019-11-03,0.35,2,91,0,
67112,Quiet base to explore Sydney,160705,Liz,,Marrickville,-33.91353,151.13982,Private room,75,90,23,2019-12-17,0.16,1,363,0,
775552,Balmoral beach Garden Oasis  Mosman,2650727,Robbie,,Mosman,-33.82532,151.2465,Entire home/apt,189,3,223,2022-07-23,1.89,1,263,29,Exempt
219030,The Beachhouse Eco Retreat,490291,Ingrid,,Waverley,-33.89286,151.26631,Entire home/apt,250,4,90,2022-07-09,0.69,2,261,7,PID-STRA-8961
68999,A little bit of Sydney - Australia,333581,Bryan,,Hornsby,-33.72966,151.05226,Private room,89,1,81,2022-08-07,0.59,1,290,20,PID-STRA-9081
225478,Le Soleil Beach Front Luxury Villa,1174760,Christian,,Sutherland Shire,-34.08323,151.15674,Entire home/apt,610,2,31,2022-04-17,0.26,1,257,14,PID-STRA-8241
71866,A Jewel Amongst Greenery,292913,Marzena,,Randwick,-33.9086,151.25185,Entire home/apt,180,3,8,2021-04-05,0.08,5,245,0,PID-STRA-23689
232782,Loft Style Apartment in Sydney,1012161,Kirsteen,,Sydney,-33.8932,151.21055,Entire home/apt,110,90,21,2019-01-04,0.17,1,0,0,
236590,Modern Spacious  1bdrm Apartment !!,1240169,Margaret,,Blacktown,-33.70676,150.92431,Entire home/apt,120,90,32,2015-01-02,0.25,1,245,0,
777184,Oxford St Apartment w/ Gym Spa Pool,4098267,Rolmar,,Sydney,-33.87847,151.21367,Entire home/apt,150,90,121,2019-11-05,1.03,1,288,0,
777278,PANORAMIC HARBOUR & CITY VIEWS!,4099460,Serena,,North Sydney,-33.83204,151.21408,Entire home/apt,145,90,9,2020-01-03,0.08,3,0,0,PID-STRA-25968
75702,Beachside haven with gorgeous sea & Headland views,402292,Helen,,Randwick,-33.96643,151.24885,Entire home/apt,123,3,308,2022-08-29,2.21,1,28,8,PID-STRA-4737
777307,Twin bed room in Hornsby Sydney (Room 2),4099655,Hong,,Hornsby,-33.68249,151.10458,Private room,81,90,50,2019-08-03,0.42,4,365,0,
249100,Rainforest garden apartment - deck,1305178,Judy,,North Sydney,-33.84357,151.21512,Private room,101,1,88,2020-01-05,0.67,2,69,0,PID-STRA-22297
86853,Bondi Beach Break 2 Bedroom Apt,476047,Ann,,Waverley,-33.8943,151.26724,Entire home/apt,254,2,146,2022-08-21,1.21,1,275,16,PID-STRA-6436
